time:1599759747.873114	IP:8.8.8.8	totalPings:1550	avgPing:43.1	maxPing:346	last10Avg:45.6	last10Max:217	pingsOver100:137	percentageOfPingsOver100:8.8%	timeout:1	packetLoss:0.1%
time:1599759750.290255	IP:8.8.8.8	totalPings:1600	avgPing:42.8	maxPing:346	last10Avg:33.5	last10Max:157	pingsOver100:139	percentageOfPingsOver100:8.7%	timeout:1	packetLoss:0.1%
time:1599759752.7935383	IP:8.8.8.8	totalPings:1650	avgPing:42.6	maxPing:346	last10Avg:35.2	last10Max:124	pingsOver100:141	percentageOfPingsOver100:8.5%	timeout:1	packetLoss:0.1%
time:1599759756.1037815	IP:8.8.8.8	totalPings:1700	avgPing:42.8	maxPing:346	last10Avg:51.2	last10Max:192	pingsOver100:149	percentageOfPingsOver100:8.8%	timeout:1	packetLoss:0.1%
time:1599759759.8684275	IP:8.8.8.8	totalPings:1750	avgPing:43.3	maxPing:346	last10Avg:60.3	last10Max:263	pingsOver100:158	percentageOfPingsOver100:9.0%	timeout:1	packetLoss:0.1%
time:1599759762.7821038	IP:8.8.8.8	totalPings:1800	avgPing:43.3	maxPing:346	last10Avg:43.0	last10Max:117	pingsOver100:162	percentageOfPingsOver100:9.0%	timeout:1	packetLoss:0.1%
time:1599759766.2864223	IP:8.8.8.8	totalPings:1850	avgPing:43.6	maxPing:346	last10Avg:55.1	last10Max:298	pingsOver100:170	percentageOfPingsOver100:9.2%	timeout:1	packetLoss:0.1%
time:1599759769.198514	IP:8.8.8.8	totalPings:1900	avgPing:43.6	maxPing:346	last10Avg:43.4	last10Max:185	pingsOver100:174	percentageOfPingsOver100:9.2%	timeout:1	packetLoss:0.1%
time:1599759771.9232845	IP:8.8.8.8	totalPings:1950	avgPing:43.5	maxPing:346	last10Avg:39.6	last10Max:145	pingsOver100:180	percentageOfPingsOver100:9.2%	timeout:1	packetLoss:0.1%
time:1599759775.2288878	IP:8.8.8.8	totalPings:2000	avgPing:43.7	maxPing:346	last10Avg:51.1	last10Max:327	pingsOver100:187	percentageOfPingsOver100:9.3%	timeout:1	packetLoss:0.1%
time:1599759778.2202053	IP:8.8.8.8	totalPings:2050	avgPing:43.7	maxPing:346	last10Avg:44.7	last10Max:196	pingsOver100:192	percentageOfPingsOver100:9.4%	timeout:1	packetLoss:0.0%
