time:1597525684.2148933	IP:8.8.8.8	totalPings:4100	avgPing:20.5	maxPing:147	last10Avg:22.4	last10Max:86	timeout:0	packetLoss:0.0%
time:1597525686.9281838	IP:8.8.8.8	totalPings:4200	avgPing:20.5	maxPing:147	last10Avg:18.3	last10Max:58	timeout:0	packetLoss:0.0%
time:1597525689.8975208	IP:8.8.8.8	totalPings:4300	avgPing:20.4	maxPing:147	last10Avg:19.5	last10Max:44	timeout:0	packetLoss:0.0%
time:1597525692.6513164	IP:8.8.8.8	totalPings:4400	avgPing:20.4	maxPing:147	last10Avg:18.6	last10Max:77	timeout:0	packetLoss:0.0%
time:1597525695.4791954	IP:8.8.8.8	totalPings:4500	avgPing:20.4	maxPing:147	last10Avg:19.5	last10Max:64	timeout:0	packetLoss:0.0%
time:1597525698.2172575	IP:8.8.8.8	totalPings:4600	avgPing:20.3	maxPing:147	last10Avg:18.6	last10Max:53	timeout:0	packetLoss:0.0%
time:1597525701.0126958	IP:8.8.8.8	totalPings:4700	avgPing:20.3	maxPing:147	last10Avg:19.1	last10Max:49	timeout:0	packetLoss:0.0%
time:1597525703.6668012	IP:8.8.8.8	totalPings:4800	avgPing:20.3	maxPing:147	last10Avg:17.8	last10Max:68	timeout:0	packetLoss:0.0%
time:1597525706.3466926	IP:8.8.8.8	totalPings:4900	avgPing:20.2	maxPing:147	last10Avg:18.0	last10Max:42	timeout:0	packetLoss:0.0%
time:1597525709.030738	IP:8.8.8.8	totalPings:5000	avgPing:20.2	maxPing:147	last10Avg:18.0	last10Max:37	timeout:0	packetLoss:0.0%
time:1597525711.73643	IP:8.8.8.8	totalPings:5100	avgPing:20.1	maxPing:147	last10Avg:18.1	last10Max:44	timeout:0	packetLoss:0.0%
time:1597525714.4344633	IP:8.8.8.8	totalPings:5200	avgPing:20.1	maxPing:147	last10Avg:18.1	last10Max:77	timeout:0	packetLoss:0.0%
time:1597525717.1183121	IP:8.8.8.8	totalPings:5300	avgPing:20.1	maxPing:147	last10Avg:17.9	last10Max:46	timeout:0	packetLoss:0.0%
time:1597525719.8362381	IP:8.8.8.8	totalPings:5400	avgPing:20.0	maxPing:147	last10Avg:18.3	last10Max:41	timeout:0	packetLoss:0.0%
time:1597525722.6488013	IP:8.8.8.8	totalPings:5500	avgPing:20.0	maxPing:147	last10Avg:19.2	last10Max:83	timeout:0	packetLoss:0.0%
time:1597525725.6117663	IP:8.8.8.8	totalPings:5600	avgPing:20.0	maxPing:147	last10Avg:20.6	last10Max:60	timeout:0	packetLoss:0.0%
time:1597525728.3164227	IP:8.8.8.8	totalPings:5700	avgPing:20.0	maxPing:147	last10Avg:18.2	last10Max:48	timeout:0	packetLoss:0.0%
time:1597525730.9837115	IP:8.8.8.8	totalPings:5800	avgPing:20.0	maxPing:147	last10Avg:17.8	last10Max:46	timeout:0	packetLoss:0.0%
time:1597525733.858683	IP:8.8.8.8	totalPings:5900	avgPing:20.0	maxPing:147	last10Avg:19.9	last10Max:61	timeout:0	packetLoss:0.0%
time:1597525736.919242	IP:8.8.8.8	totalPings:6000	avgPing:20.0	maxPing:147	last10Avg:21.7	last10Max:78	timeout:0	packetLoss:0.0%
time:1597525739.7767	IP:8.8.8.8	totalPings:6100	avgPing:20.0	maxPing:147	last10Avg:19.7	last10Max:45	timeout:0	packetLoss:0.0%
time:1597525742.5446968	IP:8.8.8.8	totalPings:6200	avgPing:20.0	maxPing:147	last10Avg:18.7	last10Max:53	timeout:0	packetLoss:0.0%
time:1597525745.5417147	IP:8.8.8.8	totalPings:6300	avgPing:20.0	maxPing:147	last10Avg:21.1	last10Max:63	timeout:0	packetLoss:0.0%
time:1597525748.3588974	IP:8.8.8.8	totalPings:6400	avgPing:20.0	maxPing:147	last10Avg:19.3	last10Max:42	timeout:0	packetLoss:0.0%
time:1597525751.3257065	IP:8.8.8.8	totalPings:6500	avgPing:20.0	maxPing:147	last10Avg:19.3	last10Max:52	timeout:0	packetLoss:0.0%
time:1597525754.438238	IP:8.8.8.8	totalPings:6600	avgPing:20.0	maxPing:147	last10Avg:22.3	last10Max:66	timeout:0	packetLoss:0.0%
time:1597525757.1821983	IP:8.8.8.8	totalPings:6700	avgPing:20.0	maxPing:147	last10Avg:18.6	last10Max:52	timeout:0	packetLoss:0.0%
time:1597525760.0422049	IP:8.8.8.8	totalPings:6800	avgPing:20.0	maxPing:147	last10Avg:19.7	last10Max:48	timeout:0	packetLoss:0.0%
time:1597525762.8276615	IP:8.8.8.8	totalPings:6900	avgPing:19.9	maxPing:147	last10Avg:19.0	last10Max:49	timeout:0	packetLoss:0.0%
time:1597525765.6247618	IP:8.8.8.8	totalPings:7000	avgPing:19.9	maxPing:147	last10Avg:19.2	last10Max:44	timeout:0	packetLoss:0.0%
time:1597525768.8322647	IP:8.8.8.8	totalPings:7100	avgPing:20.0	maxPing:147	last10Avg:23.3	last10Max:102	timeout:0	packetLoss:0.0%
time:1597525771.3517096	IP:8.8.8.8	totalPings:7200	avgPing:19.9	maxPing:147	last10Avg:16.4	last10Max:33	timeout:0	packetLoss:0.0%
time:1597525774.0332067	IP:8.8.8.8	totalPings:7300	avgPing:19.9	maxPing:147	last10Avg:18.0	last10Max:47	timeout:0	packetLoss:0.0%
time:1597525776.5617192	IP:8.8.8.8	totalPings:7400	avgPing:19.9	maxPing:147	last10Avg:16.5	last10Max:54	timeout:0	packetLoss:0.0%
time:1597525779.2697024	IP:8.8.8.8	totalPings:7500	avgPing:19.8	maxPing:147	last10Avg:18.2	last10Max:54	timeout:0	packetLoss:0.0%
time:1597525781.8286126	IP:8.8.8.8	totalPings:7600	avgPing:19.8	maxPing:147	last10Avg:16.8	last10Max:35	timeout:0	packetLoss:0.0%
time:1597525784.4948678	IP:8.8.8.8	totalPings:7700	avgPing:19.8	maxPing:147	last10Avg:17.9	last10Max:55	timeout:0	packetLoss:0.0%
time:1597525787.3562355	IP:8.8.8.8	totalPings:7800	avgPing:19.8	maxPing:147	last10Avg:19.8	last10Max:50	timeout:0	packetLoss:0.0%
time:1597525790.2221873	IP:8.8.8.8	totalPings:7900	avgPing:19.8	maxPing:147	last10Avg:19.8	last10Max:40	timeout:0	packetLoss:0.0%
time:1597525793.0156877	IP:8.8.8.8	totalPings:8000	avgPing:19.8	maxPing:147	last10Avg:19.2	last10Max:47	timeout:0	packetLoss:0.0%
time:1597525795.747368	IP:8.8.8.8	totalPings:8100	avgPing:19.8	maxPing:147	last10Avg:18.5	last10Max:80	timeout:0	packetLoss:0.0%
time:1597525798.4141989	IP:8.8.8.8	totalPings:8200	avgPing:19.7	maxPing:147	last10Avg:17.9	last10Max:43	timeout:0	packetLoss:0.0%
time:1597525801.144218	IP:8.8.8.8	totalPings:8300	avgPing:19.7	maxPing:147	last10Avg:18.4	last10Max:42	timeout:0	packetLoss:0.0%
time:1597525803.8613813	IP:8.8.8.8	totalPings:8400	avgPing:19.7	maxPing:147	last10Avg:18.3	last10Max:52	timeout:0	packetLoss:0.0%
time:1597525806.482389	IP:8.8.8.8	totalPings:8500	avgPing:19.7	maxPing:147	last10Avg:17.4	last10Max:57	timeout:0	packetLoss:0.0%
time:1597525809.157186	IP:8.8.8.8	totalPings:8600	avgPing:19.6	maxPing:147	last10Avg:17.7	last10Max:44	timeout:0	packetLoss:0.0%
time:1597525812.1597185	IP:8.8.8.8	totalPings:8700	avgPing:19.6	maxPing:147	last10Avg:19.9	last10Max:92	timeout:0	packetLoss:0.0%
time:1597525814.805322	IP:8.8.8.8	totalPings:8800	avgPing:19.6	maxPing:147	last10Avg:17.6	last10Max:50	timeout:0	packetLoss:0.0%
time:1597525817.674792	IP:8.8.8.8	totalPings:8900	avgPing:19.6	maxPing:147	last10Avg:19.9	last10Max:72	timeout:0	packetLoss:0.0%
time:1597525820.558664	IP:8.8.8.8	totalPings:9000	avgPing:19.6	maxPing:147	last10Avg:20.0	last10Max:39	timeout:0	packetLoss:0.0%
time:1597525823.3652396	IP:8.8.8.8	totalPings:9100	avgPing:19.6	maxPing:147	last10Avg:19.2	last10Max:50	timeout:0	packetLoss:0.0%
time:1597525825.9739017	IP:8.8.8.8	totalPings:9200	avgPing:19.6	maxPing:147	last10Avg:17.3	last10Max:61	timeout:0	packetLoss:0.0%
time:1597525828.745386	IP:8.8.8.8	totalPings:9300	avgPing:19.6	maxPing:147	last10Avg:19.0	last10Max:75	timeout:0	packetLoss:0.0%
time:1597525831.3644183	IP:8.8.8.8	totalPings:9400	avgPing:19.6	maxPing:147	last10Avg:17.4	last10Max:45	timeout:0	packetLoss:0.0%
time:1597525834.0189126	IP:8.8.8.8	totalPings:9500	avgPing:19.6	maxPing:147	last10Avg:17.8	last10Max:39	timeout:0	packetLoss:0.0%
time:1597525836.6722748	IP:8.8.8.8	totalPings:9600	avgPing:19.5	maxPing:147	last10Avg:17.8	last10Max:53	timeout:0	packetLoss:0.0%
time:1597525839.4438717	IP:8.8.8.8	totalPings:9700	avgPing:19.5	maxPing:147	last10Avg:18.9	last10Max:58	timeout:0	packetLoss:0.0%
time:1597525841.999254	IP:8.8.8.8	totalPings:9800	avgPing:19.5	maxPing:147	last10Avg:16.8	last10Max:51	timeout:0	packetLoss:0.0%
time:1597525844.5816867	IP:8.8.8.8	totalPings:9900	avgPing:19.5	maxPing:147	last10Avg:17.1	last10Max:47	timeout:0	packetLoss:0.0%
time:1597525847.2887385	IP:8.8.8.8	totalPings:10000	avgPing:19.5	maxPing:147	last10Avg:18.3	last10Max:62	timeout:0	packetLoss:0.0%
time:1597525850.1996021	IP:8.8.8.8	totalPings:10100	avgPing:19.5	maxPing:147	last10Avg:20.1	last10Max:63	timeout:0	packetLoss:0.0%
time:1597525852.9267187	IP:8.8.8.8	totalPings:10200	avgPing:19.5	maxPing:147	last10Avg:18.2	last10Max:46	timeout:0	packetLoss:0.0%
time:1597525855.6277716	IP:8.8.8.8	totalPings:10300	avgPing:19.4	maxPing:147	last10Avg:18.2	last10Max:43	timeout:0	packetLoss:0.0%
time:1597525858.3927114	IP:8.8.8.8	totalPings:10400	avgPing:19.4	maxPing:147	last10Avg:18.8	last10Max:95	timeout:0	packetLoss:0.0%
time:1597525861.0677407	IP:8.8.8.8	totalPings:10500	avgPing:19.4	maxPing:147	last10Avg:17.9	last10Max:41	timeout:0	packetLoss:0.0%
time:1597525864.3603146	IP:8.8.8.8	totalPings:10600	avgPing:19.5	maxPing:147	last10Avg:23.9	last10Max:68	timeout:0	packetLoss:0.0%
time:1597525867.446719	IP:8.8.8.8	totalPings:10700	avgPing:19.5	maxPing:147	last10Avg:22.0	last10Max:69	timeout:0	packetLoss:0.0%
time:1597525870.364771	IP:8.8.8.8	totalPings:10800	avgPing:19.5	maxPing:147	last10Avg:18.9	last10Max:46	timeout:0	packetLoss:0.0%
time:1597525873.23725	IP:8.8.8.8	totalPings:10900	avgPing:19.5	maxPing:147	last10Avg:19.9	last10Max:95	timeout:0	packetLoss:0.0%
time:1597525875.8041186	IP:8.8.8.8	totalPings:11000	avgPing:19.5	maxPing:147	last10Avg:16.7	last10Max:41	timeout:0	packetLoss:0.0%
time:1597525878.6627753	IP:8.8.8.8	totalPings:11100	avgPing:19.5	maxPing:147	last10Avg:19.8	last10Max:81	timeout:0	packetLoss:0.0%
time:1597525881.4586828	IP:8.8.8.8	totalPings:11200	avgPing:19.5	maxPing:147	last10Avg:19.1	last10Max:51	timeout:0	packetLoss:0.0%
time:1597525884.3012106	IP:8.8.8.8	totalPings:11300	avgPing:19.5	maxPing:147	last10Avg:19.5	last10Max:53	timeout:0	packetLoss:0.0%
time:1597525887.0942354	IP:8.8.8.8	totalPings:11400	avgPing:19.5	maxPing:147	last10Avg:19.2	last10Max:52	timeout:0	packetLoss:0.0%
time:1597525889.8757029	IP:8.8.8.8	totalPings:11500	avgPing:19.5	maxPing:147	last10Avg:18.9	last10Max:56	timeout:0	packetLoss:0.0%
time:1597525892.7083187	IP:8.8.8.8	totalPings:11600	avgPing:19.5	maxPing:147	last10Avg:19.5	last10Max:54	timeout:0	packetLoss:0.0%
time:1597525895.7113702	IP:8.8.8.8	totalPings:11700	avgPing:19.5	maxPing:147	last10Avg:21.1	last10Max:54	timeout:0	packetLoss:0.0%
time:1597525898.4777157	IP:8.8.8.8	totalPings:11800	avgPing:19.5	maxPing:147	last10Avg:18.8	last10Max:50	timeout:0	packetLoss:0.0%
time:1597525901.19782	IP:8.8.8.8	totalPings:11900	avgPing:19.5	maxPing:147	last10Avg:18.3	last10Max:44	timeout:0	packetLoss:0.0%
